단원,단어,뜻
27 단원,pasture,"목장,방목하다"
27 단원,combine,콤바인(베어서 탈곡하는 농기계)
27 단원,scarecrow,허수아비
27 단원,livestock,가축류
27 단원,vineyard,"포도밭,포도원"
28 단원,flower,"꽃,꽃이 피다"
28 단원,leaf,"나뭇잎,잎사귀"
28 단원,bloom,"꽃,개화,꽃이 피다,개화하다"
28 단원,fruit,"열매,과일,결과,성과"
28 단원,grass,"풀,잔디,잔디밭"
28 단원,weed,"잡초,~의 잡초를 뽑다"
28 단원,plant,"식물,심다,씨를 뿌리다"
28 단원,seed,"씨앗,종자"
28 단원,sprout,새싹
28 단원,bud,"(식물의)눈,봉오리"
28 단원,petal,꽃잎
28 단원,root,"뿌리,뿌리 뽑다"
28 단원,stem,"(식물의)줄기,대,유래하다,시작되다"
28 단원,thorn,가시
28 단원,branch,"나뭇가지,분점,지점"
28 단원,bough,(나무의)큰 가지
28 단원,maple,단풍나무
28 단원,bamboo,대나무
28 단원,needle,"(침엽수의)바늘처럼 뾰족한 잎,바늘"
28 단원,pine tree,소나무
28 단원,cherry tree,벚나무
28 단원,cactus,선인장
28 단원,trunk,"나무의 몸통 부분,코끼리의 코"
28 단원,bark,"나무껍질,(개가)짖다"
28 단원,fertilizer,비료
28 단원,bush,"관목,작은 나무들이 우거진 관목 숲"
28 단원,palm,"야자수,손바닥"
28 단원,bulb,"구근,알뿌리,전구"
28 단원,poisonous,독이 있는
28 단원,herb,"약초,허브"
29 단원,dog,개
29 단원,rat,쥐
29 단원,bat,박쥐
29 단원,snake,뱀
29 단원,elephant,코끼리
29 단원,monkey,원숭이
29 단원,fox,여우
29 단원,tiger,호랑이
29 단원,whale,고래
29 단원,bear,곰
29 단원,deer,사슴
29 단원,kangaroo,캥거루
29 단원,giraffe,기린
29 단원,zebra,얼룩말
29 단원,camel,"낙타,낙타색"
29 단원,dolphin,돌고래
29 단원,shark,상어
29 단원,leopard,표범
29 단원,tortoise,(육지 또는 민물)거북
29 단원,frog,개구리
29 단원,dinosaur,공룡
29 단원,bird cage,새장
29 단원,fish tank,어항
29 단원,octopus,"문어,낙지"
29 단원,jellyfish,해파리
29 단원,sea horse,해마
29 단원,hippo(hippopotamus),하마
29 단원,rhino(rhinoceros),코뿔소
29 단원,crocodile,악어
29 단원,lizard,도마뱀
30 단원,insect,곤충
30 단원,ant,개미
30 단원,bee,벌
30 단원,fly,"파리,날다"
30 단원,wing,날개
30 단원,hen,암탉
30 단원,duck,오리
30 단원,spider,거미
30 단원,butterfly,나비
30 단원,beetle,딱정벌레
30 단원,ladybug,무당벌레
30 단원,flea,벼룩
30 단원,mosquito,모기
30 단원,swan,백조
30 단원,penguin,펭귄
30 단원,eagle,독수리
30 단원,beak,부리
30 단원,crow,까마귀
30 단원,pigeon,비둘기
30 단원,parrot,앵무새
30 단원,goose,거위
30 단원,cuckoo,뻐꾸기
30 단원,owl,올빼미
30 단원,peacock,공작새
30 단원,ostrich,타조
30 단원,swallow,"제비,삼키다"
30 단원,moth,"나방,좀벌레"
30 단원,cricket,귀뚜라미
30 단원,caterpillar,"애벌레,유충"
30 단원,hummingbird,벌새
31 단원,air,"공기,대기"
31 단원,pollution,오염
31 단원,protect,보호하다
31 단원,separate,분리하다
31 단원,waste,"쓰레기,낭비,낭비하다"
31 단원,environment,환경
31 단원,effect,"영향,효과"
31 단원,resource,자원
31 단원,recycle,재활용하다
31 단원,destroy,"파괴하다,부수다"
31 단원,damage,"손상,피해"
31 단원,garbage,쓰레기
31 단원,share,공유하다
31 단원,cause,야기하다
31 단원,ruin,"파괴,유적,폐허,파멸시키다"
31 단원,raw,"날것의,가공하지 않은"
31 단원,electricity,전기
31 단원,pure,순수한
31 단원,smog,"스모그,연무"
31 단원,fuel,연료
31 단원,fossil,화석
31 단원,acid,"산,산성의"
31 단원,toxic,유독한
31 단원,exhaust,"배기가스,다 써버리다"
31 단원,shortage,"부족,결핍"
31 단원,reduce,줄이다
31 단원,endangered,"멸종위기의,위험에 처한"
31 단원,leak,"누출,새다"
31 단원,overuse,"남용,남용하다"
31 단원,greenhouse,온실
32 단원,electric,전기의
32 단원,invent,발명하다
32 단원,machine,기계
32 단원,data,"자료,정보"
32 단원,important,중요한
32 단원,cell,세포
32 단원,magnet,자석
32 단원,e-mail,이메일
32 단원,prove,증명하다
32 단원,inform,"알리다,통지하다"
32 단원,experiment,"실험,실험하다"
32 단원,method,방법
32 단원,chemical,"화학의,화학약품"
32 단원,measure,측정하다
32 단원,technology,기술
32 단원,inspect,조사하다
32 단원,imagine,상상하다
32 단원,visible,눈에 보이는
32 단원,vacuum,"진공,공백,(진공청소기로)청소하다"
32 단원,react,반응하다
32 단원,mobile,이동성의
32 단원,charge,충전하다
32 단원,multiply,"곱하다,증가시키다"
32 단원,gravity,중력
32 단원,browse,검색하다
32 단원,device,장치
32 단원,delete,삭제하다
32 단원,wireless,무선의
32 단원,transmit,"보내다,전송하다,전염시키다"
32 단원,formula,공식
33 단원,earth,지구
33 단원,sun,태양
33 단원,moon,달
33 단원,star,"별,항성"
33 단원,planet,행성
33 단원,universe,우주
33 단원,solar,태양의
33 단원,lunar,달의
33 단원,crew,(비행기나 배의)승무원
33 단원,rocket,"로켓,로켓으로 쏘아 올리다"
33 단원,surface,표면
33 단원,Mercury,"수성,수은"
33 단원,Venus,금성
33 단원,Mars,화성
33 단원,Jupiter,목성
33 단원,Saturn,토성
33 단원,ring,"고리,반지"
33 단원,comet,혜성
33 단원,telescope,망원경
33 단원,milky way,은하수
33 단원,space shuttle,우주 왕복선
33 단원,space station,우주 정거장
33 단원,eclipse,식(개기일식의 식)
33 단원,satellite,위성
33 단원,orbit,"궤도,궤도를 그리며 돌다"
33 단원,galaxy,은하
33 단원,astronomy,천문학
33 단원,astronomer,천문학자
33 단원,Big Bang,빅뱅(우주 생성의 시발이 된 것으로 여겨지는 대폭발)
33 단원,light year,광년(빛이 1년에 나아가는 거리로 약 9조 4670억 킬로미터)
34 단원,power,"힘,권력,에너지"
34 단원,energy,에너지
34 단원,produce,"생산하다,만들어내다"
34 단원,oil,기름
34 단원,wind,바람
34 단원,coal,석탄
34 단원,mine,"광산,지뢰,채굴하다"
34 단원,factory,공장
34 단원,dam,댐
34 단원,heat,"열,가열하다"
34 단원,battery,배터리
34 단원,generate,"생성하다,발생시키다"
34 단원,nuclear,원자핵의
34 단원,windmill,풍차
34 단원,failure,"정지,고장,실패"
34 단원,tidal,조수의(조수간만의 차 할 때 조수)
34 단원,careless,부주의한
34 단원,transform,"바꾸다,변형시키다"
34 단원,natural gas,천연 가스
34 단원,abundant,"풍부한,풍족한"
34 단원,utility pole,전신주
34 단원,solar collector,태양열 집열기
34 단원,transmission tower,송전탑
34 단원,radioactive,방사능을 가진
34 단원,power line,송전선
34 단원,conserve,"보전하다,아끼다,절약하다"
34 단원,efficiency,효율
34 단원,crisis,위기
34 단원,authorized,권한이 부여된
34 단원,turbine,"터빈,원동기"
35 단원,learn,배우다
35 단원,lesson,"수업,교훈"
35 단원,study,"연구,공부하다"
35 단원,exam,시험
35 단원,grade,"학년,등급,점수,점수를 매기다"
35 단원,college,단과대학
35 단원,university,종합대학
35 단원,elementary,"기초의,기본이 되는"
35 단원,discuss,토론하다
35 단원,explain,설명하다
35 단원,memorize,암기하다
35 단원,entrance,"입장,입학"
35 단원,educate,"교육하다,육성하다"
35 단원,kindergarten,유치원
35 단원,graduate,졸업하다
35 단원,knowledge,지식
35 단원,schoolmate,"학교 친구,동창생"
35 단원,homeroom teacher,담임 선생님
35 단원,submit,제출하다
35 단원,academic,"학술적인,학문적인"
35 단원,instruct,"교수하다,가르치다"
35 단원,absent,결석한
35 단원,attend,"출석하다,참석하다"
35 단원,semester,학기
35 단원,alternative,"대안,대안의"
35 단원,lecture,강의
35 단원,pupil,학생
35 단원,intelligence,"지성,지능"
35 단원,scholarship,장학금
35 단원,encourage,"용기를 북돋우다,격려하다"
36 단원,teacher,선생님
36 단원,classroom,교실
36 단원,flag,"국기,깃발"
36 단원,chalk,분필
36 단원,map,지도
36 단원,textbook,교과서
36 단원,notebook,공책
36 단원,partner,"짝,동료,협력자"
36 단원,homework,숙제
36 단원,math,수학
36 단원,classmate,"급우,학급친구"
36 단원,senior,"선배,손위의,최고 학년의"
36 단원,locker,"(자물쇠가 달린)사물함,로커"
36 단원,chalk board,칠판
36 단원,marker,마커펜
36 단원,club,동아리
36 단원,hall,"강당,부속회관"
36 단원,subject,"과목,주제"
36 단원,project,"계획,기획,프로젝트"
36 단원,library,도서관
36 단원,P.E.(Physical Education),체육
36 단원,hallway,복도
36 단원,principal,"교장,교장 선생님"
36 단원,counsel,"상담,상담하다,권고하다"
36 단원,admit,"받아들이다,인정하다"
36 단원,auditorium,강당
36 단원,cafeteria,"식당,간이식당"
36 단원,assignment,"과제,숙제"
36 단원,laboratory,"실습실,연습실"
36 단원,bulletin board,게시판
37 단원,rich,부유한
37 단원,save,"저축하다,저장하다,구하다"
37 단원,spend,"(시간,돈을)쓰다"
37 단원,value,"가치,값,소중히 여기다"
37 단원,local,지역의
37 단원,crowd,군중
37 단원,debt,"빚,부채"
37 단원,salary,급여
37 단원,invest,투자하다
37 단원,status,"지위,상태"
37 단원,culture,문화
37 단원,citizen,"시민,국민"
37 단원,public,"대중의,공공의,공개된"
37 단원,supply,"공급,공급하다"
37 단원,demand,"수요,요구하다"
37 단원,import,"수입,수입하다"
37 단원,export,"수출,수출하다"
37 단원,account,계좌
37 단원,employ,고용하다
37 단원,individual,"개인,개인의,개인적인"
37 단원,relationship,"관계,사이"
37 단원,tradition,전통
37 단원,consumer,소비자
37 단원,responsibility,책임
37 단원,influence,"영향,영향을 미치다"
37 단원,obstacle,"장애,장애물"
37 단원,property,"재산,소유물"
37 단원,moral,"도덕,윤리,도덕적인"
37 단원,donate,기부하다
37 단원,predict,"예측하다,예언하다"
38 단원,state,"국가,상태"
38 단원,vote,"투표,투표하다"
38 단원,party,정당
38 단원,gap,"차이,격차"
38 단원,court,"법정,안뜰"
38 단원,justice,정의
38 단원,crime,범죄
38 단원,murder,살인
38 단원,victim,희생자
38 단원,argue,"논하다,주장하다"
38 단원,decide,결정하다
38 단원,policy,정책
38 단원,illegal,불법적인
38 단원,guilty,"유죄의,죄책감의"
38 단원,innocent,"무죄의,결백한"
38 단원,majority,"대다수,과반수"
38 단원,minority,"소수,소수의"
38 단원,suspect,"용의자,의심하다"
38 단원,witness,"목격자,증인,목격하다"
38 단원,arrest,"체포,체포하다"
38 단원,candidate,후보자
38 단원,government,"정부,통치"
38 단원,elect,선출하다
38 단원,trial,"재판,시행"
38 단원,sentence,"형벌,문장,선고하다"
38 단원,protest,"항의,항의하다"
38 단원,compensate,"보상하다,변상하다"
38 단원,diplomat,외교관
38 단원,represent,"대표하다,나타내다"
38 단원,democracy,민주주의
39 단원,peace,평화
39 단원,war,전쟁
39 단원,century,"세기,100년"
39 단원,age,"나이,시대,시기"
39 단원,battle,"싸움,전투"
39 단원,pray,"기도하다,기원하다"
39 단원,heaven,"천국,하늘"
39 단원,soul,"정신,영혼"
39 단원,belief,"믿음,신념"
39 단원,church,"교회,성당"
39 단원,temple,"절,사원"
39 단원,attack,"공격,공격하다"
39 단원,weapon,무기
39 단원,empire,제국
39 단원,rule,"지배,통치,규칙,지배하다,통치하다"
39 단원,religious,종교의
39 단원,charity,"자선,자애"
39 단원,faithful,"신실한,성실한"
39 단원,independence,독립
39 단원,revolution,혁명
39 단원,Buddhism,불교
39 단원,Christianity,기독교
39 단원,Hinduism,힌두교
39 단원,Islam,이슬람교
39 단원,Judaism,유대교
39 단원,ancient,"고대의,구식의"
39 단원,colony,식민지
39 단원,civilization,문명
39 단원,spiritual,"정신적인,영적인"
39 단원,ceremony,"의식,예식"
40 단원,different,다른
40 단원,global,세계적인
40 단원,future,미래
40 단원,race,"인종,민족,경주"
40 단원,national,국가의
40 단원,control,"통제,통제하다"
40 단원,fund,기금
40 단원,die,죽다
40 단원,foreign,외국의
40 단원,population,인구
40 단원,increase,"증가,증가하다"
40 단원,decrease,"감소,감소하다"
40 단원,urban,도시의
40 단원,rural,시골의
40 단원,region,"지역,지방"
40 단원,border,"국경,경계"
40 단원,shocking,"충격적인,놀랄만한"
40 단원,aid,"원조,지원,구조"
40 단원,suffer,"(고통 등을)겪다,당하다"
40 단원,hunger,"배고픔,기아"
40 단원,orphan,고아
40 단원,support,"원조,지원,원조하다,지지하다"
40 단원,rescue,구하다
40 단원,immigrate,(타국으로부터)이민을 오다
40 단원,native,"~출신자,토착민,토착의,타고난"
40 단원,ethnic,"민족의,인종의"
40 단원,organization,기구
40 단원,statistic,통계치
40 단원,agreement,"협정,계약,동의,합의"
40 단원,mutual,"서로의,상호의"
,,
